source,paragraph
Conan Doyle,"""Look here, sir,"" said I, backing to the door and opening it; ""you can"
Christie,"with the utmost sarcasm, “I will treat you to a little lecture on"
Conan Doyle,“I felt angry at having been tricked by so elaborate a story as that
Christie,"together again, and that then—”"
Christie,time and a date—and they were both past by then.”
Christie,was found a portion of the De Beer diamonds.
Christie,Hastings! You should establish a harem!”
Conan Doyle,"most unpleasant couple, but fortunately I spend most of my time in the"
Conan Doyle,"and I won’t claim to be your husband until I come back?’ Well, we"
Conan Doyle,"back once more to civilization."""
Conan Doyle,making his way homeward down Tottenham Court Road. In front of him he
Conan Doyle,"Waldron in particular, but that you may not lose your sense of"
Conan Doyle,as Mr. John Hare alone could have equalled. It was not merely that
Christie,Race’s company. He veiled his thoughts so well behind those
Christie,"“But, Poirot, I thought you said the man in the shed had died a natural"
Christie,moment I gave the inspector up as hopeless.
Conan Doyle,"my chair. “It is both, or none,” said he. “You may say before this"
Christie,he apologized. “But there are one or two questions I should like
Christie,must get out into the open air. The doctor who had examined the
Conan Doyle,“Nor running a chance of arrest?”
Conan Doyle,"pockets, he stretched out his legs in front of the fire and laughed"
Conan Doyle,use the official police as well. Would you give me an introduction to
Christie,I doubt if Chichester-Pettigrew had ever been ragged before. He
Conan Doyle,"attempts of the friends to hush the matter up, so much public attention"
Christie,"“One can see by his face that he was stabbed in the back,” remarked"
Christie,looked as though it had been oiled. There were great patches of
Conan Doyle,"""Well, our rope is still more than a hundred feet long,"" I cried."
Christie,the same I notice that when you ask them to translate inscriptions
Christie,"white clouds hovering above Table Mountain, and nestling on the"
Christie,"they seemed totally ineffectual. I left arithmetic alone, not"
Conan Doyle,"Watson, that you have so far grasped this truth that in these little"
Christie,place where the crime was committed?”
Conan Doyle,me here to avoid scandal.”
Christie,"have escaped my notice. He was tall and dark, and had such a"
Christie,"“Stonor was in England,” I put in."
Conan Doyle,"""Well, my idea was that you and I could rush him.  He may be dozin',"
Christie,"her room, just to reassure myself, you know. She wasn’t there and"
Christie,"hours’ sleep for a fool, they say! I could do with twenty!”"
Conan Doyle,I pocketed the slip of paper.
Conan Doyle,"aware that any other type of language exists in this continent, and I"
Conan Doyle,“The Coroner: I am afraid that I must press it.
Conan Doyle,leaking cylinder. He had set the engine at work. The lamp still stood
Conan Doyle,Mr. McArdle.  Let me draw one last picture before I close the
Christie,her doing. I fancy that Carton really had them and concealed them
Christie,"The train was some minutes late, and I strolled aimlessly up and down"
Christie,clue of importance he would be more than likely to keep it to himself.
Conan Doyle,"gathered that this was the name of the nation.  Occasionally, with"
Christie,sight of Table Mountain. I got up frightfully early and went out
Conan Doyle,females and infants of the tribe.  They formed the background of the
Conan Doyle,annihilation.  The inflated membrane shot up with frightful velocity
Christie,I had a little reserve fund carefully put aside for such a
Conan Doyle,"“Yes, but very small ones. Too narrow for anyone to pass through.”"
Conan Doyle,murder was done with it.”
Christie,"horrified servants. She was in a terrible condition of weakness, almost"
Conan Doyle,"gentleman, Neville St. Clair by name, who appeared to have plenty of"
Christie,doubtful character as a secretary?”
Conan Doyle,easily have misinterpreted that dim surface.  It was a dull gray
Conan Doyle,answered with a sidelong glance.
Conan Doyle,"even traced them as far as Reading, but could get no farther, for they"
Christie,that I came to your house with the examining magistrate? You asked me
Christie,"Then I thought of Mrs. Blair. She, too, had been kind to me. I did"
Conan Doyle,"the fantastic. Of all these varied cases, however, I cannot recall any"
Conan Doyle,"continue my work at Briony Lodge, or turn my attention to the"
Conan Doyle,"home I took one round to Spink's, and asked him to have it roughly cut"
Christie,She shook her head.
Christie,I was prevented from further argument by our arrival at the door. M.
Conan Doyle,"the Wigan coal explosion last month, could you not have gone down and"
Conan Doyle,"had listened to in the morning. It was a poky, little, shabby-genteel"
Christie,"criminal. Final and most bitter blow, she has admitted publicly that"
Christie,you never say a word.”
Conan Doyle,Holmes shook his head gravely. “It would cease to be a danger if we
Conan Doyle,"smearing my face with a little paint, laying my cap on the ground, and"
Conan Doyle,"astonishment, would wander away in search of some other prey?  I"
Christie,She held it out to me.
Christie,I disclaimed the idea lightly.
Conan Doyle,"intellect go together, there is always a way out.  A drawbridge had to"
Conan Doyle,"with suggestion of the negroid.  Celtic, I presume?"""
Conan Doyle,                           CHAPTER III
Conan Doyle,Israelites in Egypt.  At night we could hear from amid the trees the
Conan Doyle,was a very limited one. But among them was Sir George Burnwell. I had
Christie,terms it requested the pleasure of our company at tea in his
Christie,mind from the beginning. It’s the gipsy element in you that makes
Conan Doyle,laughing-stock of Scotland Yard.”
Christie,"burglars, she looked into the dining-room, but seeing the silver was"
Conan Doyle,"""I need not say,"" said our leader, ""that on the occasion of my last"
Conan Doyle,"solemnity, as one who bears the full weight of a great enterprise upon"
Christie,"In the meantime, I must admit, it occupied a good deal of this"
Conan Doyle,a drift of darts came whistling from every chink in the cliff above
Conan Doyle,"“‘That will do,’ said he; ‘I could not ask for anything better."
Conan Doyle,much to say that it is of such weight it may have an influence upon
Christie,"suicide or accident. That seemed to me to make my duty clear, and"
Conan Doyle,"quickly round, he straightened himself out and burst into a hearty fit"
Christie,"jumped on board the train at the last minute, puffing like a"
Conan Doyle,"                ""It was Dreadful in the Forest"""
Conan Doyle,Sherlock Holmes sat down beside him on the couch and patted him kindly
Conan Doyle,"Malone, I will place no restriction upon your correspondence, since the"
Conan Doyle,be no chance of a train back. I should be compelled to stop the night.’
Conan Doyle,who was it brought him the coronet?
Conan Doyle,"""Challenger was the man who came with some cock-and-bull story from"
Christie,"the _Kilmorden Castle,_ which left Cape Town in two days’ time. I"
Christie,"“I, on the contrary, find it very interesting,” said Poirot sweetly."
Conan Doyle,true as man could be.”
Christie,"But the shrubbery here was much denser, and I had quite a struggle to"
Christie,"men another that women got weak. And of course, underneath, one is"
Christie,The man you knew as Harry Rayburn.”
Conan Doyle,"Sutherland. “Yes, I did bang out of the house,” she said, “for it made"
Christie,"“But surely the study of finger-prints and footprints, cigarette ash,"
Christie,some time to-morrow. She will answer questions better if she is
Conan Doyle,deeper still. But we shall have horrors enough before the night is
Conan Doyle,I will not bore those whom this narrative may reach by an account of
Christie,“Jack Renauld was presumably acquainted with the planning out of the
Conan Doyle,"and in five minutes was inside a hansom, driving with my new"
Christie,What’s it all about?”
Conan Doyle,"matter; but in he trotted, and set us both laughing.  ""That does not"
Conan Doyle,"deep impression upon me, and the lapse of two years has hardly served"
Christie,where two soiled earth-stained gloves were lying. “And they’re
Christie,man was trying to pass himself off as other than he was. He was
Conan Doyle,"the wall.  G. E. C. is happiest then.  Well, sir, let us do what we can"
Conan Doyle,"walked, but a constant movement far above our heads told of that"
Conan Doyle,"guidance of Mr. Merryweather, we passed down a narrow passage and"
Conan Doyle,can see now that it is fastened to a hook just above where the little
Christie,gone. We are in darkness. A hundred conflicting points confuse and
